Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0041092,-1.0232E-17,-0.018435,0,0,0,21.702,0.47632,-4.1379E-18,-0.0037206,0.27338,3.2871E-17,0.24854,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/base_link.STL,,body_2-1;upper_arm_pitch-1;upper_arm_pitch-3,base_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_leg_roll_link,1.35200010908942E-15,3.88578058618805E-16,0.09,0,0,0,1.35716802635079,0.00285005285533666,-6.77626357803444E-21,1.01536703760543E-19,0.00285005285533666,-1.52838582724961E-18,0.00244290244743142,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/left_leg_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/left_leg_roll_link.STL,,leg_motor-3,left_leg_roll_frame,left_leg_roll_axis,left_leg_roll_joint,revolute,-0.055,0.132,-0.38,-1.5708,1.5568,1.5708,base_link,0,0,-1,100,0.3,-0.12,0.12,,,,,,,,
left_leg_yaw_link,0,0,9.7578E-18,0,0,0,1.3572,0.0028501,-2.4652E-32,-2.9877E-19,0.0028501,-4.8111E-19,0.0024429,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/left_leg_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/left_leg_yaw_link.STL,,leg_motor-2,left_leg_yaw_frame,left_leg_yaw_axis,left_leg_yaw_joint,revolute,0,0,-0.06,0,1.5708,0,left_leg_roll_link,0,0,1,100,0.3,-1,1,,,,,,,,
left_leg_pitch_link,0.202,2.7756E-17,2.7756E-17,0,0,0,7.272,0.025694,-1.0729E-18,6.5052E-19,0.10497,1.1645E-18,0.11854,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/left_leg_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/left_leg_pitch_link.STL,,leg1-1,left_leg_pitch_frame,left_leg_pitch_axis,left_leg_pitch_joint,revolute,0,0,0.06,1.5708,-1.5708,0,left_leg_yaw_link,0,0,1,250,2.5,-2,0.23,,,,,,,,
left_knee_link,0.1865,2.7756E-17,2.7756E-17,0,0,0,4.476,0.0091012,-1.2675E-18,1.3146E-18,0.057266,7.9261E-19,0.055625,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/left_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/left_knee_link.STL,,leg2-1,left_leg_knee_frame,left_leg_knee_axis,left_knee_joint,revolute,0.404,0,0,0,0,0,left_leg_pitch_link,0,0,1,250,1.5,-0.1,1.8,,,,,,,,
left_ankle_pitch_link,-2.15522044655359E-14,2.99760216648792E-15,-4.71844785465692E-16,0,0,0,1.35716802635079,0.00285005285533666,6.7762635780344E-21,1.01891354500509E-19,0.00285005285533666,4.17688091207747E-19,0.00244290244743142,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/left_ankle_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/left_ankle_pitch_link.STL,,leg_motor-5,left_ankle_pitch_frame,left_ankle_pitch_axis,left_ankle_pitch_joint,revolute,0.373,0,0,0,0,-1.5424,left_knee_link,0,0,1,75,2.2,-0.55,0.55,,,,,,,,
left_ankle_roll_link,0.00022772,-0.0491,-0.0014033,0,0,0,5.9208,0.032058,0.00012243,-0.00010547,0.028043,0.0018686,0.018732,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/left_ankle_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/left_ankle_roll_link.STL,,leg_motor-6;ankle_X_collision-4,left_ankle_roll_frame,left_ankle_roll_axis,left_ankle_roll_joint,revolute,0,0,0,1.57079632679514,-1.55678318128233,1.5424368152631,left_ankle_pitch_link,-0.000397339689709823,0.0283529262370028,-0.999597896003673,0,0,0,0,,,,,,,,
right_leg_roll_link,5.55111512312578E-17,-1.34094124693007E-15,-0.09,0,0,0,1.35716802635079,0.00285005285533666,6.77626357803481E-21,8.61148584744149E-20,0.00285005285533666,2.29625883130745E-19,0.00244290244743142,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/right_leg_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/right_leg_roll_link.STL,,leg_motor-8,right_leg_roll_frame,right_leg_roll_axis,right_leg_roll_joint,revolute,-0.055,-0.132,-0.38,1.5708,0.014013,1.5708,base_link,0,0,1,100,0.3,-0.12,0.12,,,,,,,,
right_leg_yaw_link,0,0,1.95156391047391E-18,0,0,0,1.35716802635079,0.00285005285533666,7.70371977754894E-34,-5.06203265675996E-20,0.00285005285533666,1.76182853028895E-19,0.00244290244743142,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/right_leg_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/right_leg_yaw_link.STL,,leg_motor-7,right_leg_yaw_frame,right_leg_yaw_axis,right_leg_yaw_joint,revolute,0,0,0.06,1.5708,-1.5708,0,right_leg_roll_link,0,0,-1,100,0.3,-1,1,,,,,,,,
right_leg_pitch_link,0.202,2.77555756156289E-17,0,0,0,0,7.272,0.0256944,1.05105931032785E-18,-1.21972744404636E-18,0.104968896,-1.19483672981209E-18,0.118543296,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/right_leg_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://assembly_cowa_robot_new_foot4/meshes/right_leg_pitch_link.STL,,leg1-2,right_leg_pitch_frame,right_leg_pitch_axis,right_leg_pitch_joint,revolute,0,0,0.06,1.5708,-1.5708,0,right_leg_yaw_link,0,0,1,250,2.5,-2,0.23,,,,,,,,
