Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0961662823726544,-1.03511339119498E-09,-0.162578216580196,0,0,0,1.95101772172978,0.01135010914744,-2.37260397262345E-20,3.30872245021212E-21,0.00280342430526838,1.70152241791354E-10,0.0100305247149172,0,0,0,0,0,0,package://cowa_humanoid/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/base_link.STL,,leg_motor-11;body_waist_part2-1,base_link_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_leg_roll_link,8.10983225019157E-17,2.91433543964104E-16,0.0800000000000171,0,0,0,0.785398163397448,0.00114537232162128,-3.38813178901722E-21,6.17832001615349E-20,0.00114537232162128,-5.68535232822628E-19,0.000981747704246811,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_leg_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_leg_roll_link.STL,,leg_motor-3,left_leg_roll_frame,left_leg_roll_axis,left_leg_roll_joint,revolute,-0.055,0.12,-0.19,-1.5708,1.5521,1.5708,base_link,0,0,-1,100,3.14,-2.5,0.12,,,,,,,,
left_leg_yaw_link,1.3878E-17,-1.3878E-17,-2.6021E-18,0,0,0,0.7854,0.0011454,1.1556E-33,-2.7234E-20,0.0011454,7.9621E-20,0.00098175,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_leg_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_leg_yaw_link.STL,,leg_motor-2,left_leg_yaw_frame,left_leg_yaw_axis,left_leg_yaw_joint,revolute,0,0,-0.05,0,1.5708,0,left_leg_roll_link,0,0,1,100,3.14,-0.5,0.5,,,,,,,,
left_leg_pitch_link,0.194289718821747,-0.0397207882444419,2.35922392732846E-16,0,0,0,3.19149662944362,0.00431629127665615,-0.000164904320015488,2.70635672584692E-19,0.0461748321659441,2.16721267666582E-19,0.0451719623935276,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_leg_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_leg_pitch_link.STL,,leg1_new-1,left_leg_pitch_frame,left_leg_pitch_axis,left_leg_pitch_joint,revolute,0.02,0,0.05,-1.5708,-1.2741,0,left_leg_yaw_link,0,0,-1,250,2,-2,0,,,,,,,,
left_knee_link,0.129618,-0.044385301553616,0.00407623044892469,0,0,0,2.59980495743321,0.00474898223180461,-0.00373925658439835,0.000343403582090226,0.0240094184207857,3.78824608033876E-05,0.0244184343372065,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_knee_link.STL,,leg2_new-1,left_knee_pitch_frame,right_knee_pitch_axis,left_knee_joint,revolute,0.39649,-0.07893,0,-3.05,0,-0.50221,left_leg_pitch_link,0.036684,0.083773,0.99581,250,1.8,0,1.8,,,,,,,,
left_ankle_pitch_link,6.9389E-18,1.1102E-16,0,0,0,0,0.031416,2.6965E-05,1.8697E-24,1.0195E-21,2.6965E-05,9.3091E-21,1.5708E-06,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_ankle_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_ankle_pitch_link.STL,,ankle_pitch_motor-1,left_ankle_pitch_frame,left_ankle_pitch_axis,left_ankle_pitch_joint,revolute,0.38885,0,0,-3.1229,-0.089648,-1.7772,left_knee_link,0,0,-1,75,1.57,-0.6,0.6,,,,,,,,
left_ankle_roll_link,-0.135641992803085,0.612073365196636,0.0228857190122595,0,0,0,81.1586182215706,17.6163670425813,-0.00173483427399151,-0.000118510989449332,1.61435694369878,0.543851218941267,18.5421203670029,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_ankle_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_ankle_roll_link.STL,,left_ankle_roll_link2-2,left_ankle_roll_frame,left_ankle_roll_axis,left_ankle_roll_joint,revolute,0,0,0,-1.5708,1.5521,-1.5708,left_ankle_pitch_link,0,0,-1,75,1.2,-0.08,0.08,,,,,,,,
right_leg_roll_link,1.6792E-14,-8.3267E-17,-0.08,0,0,0,0.7854,0.0011454,1.6941E-21,6.1783E-20,0.0011454,3.6891E-20,0.00098175,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_leg_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_leg_roll_link.STL,,leg_motor-8,right_hip_roll_frame,right_leg_roll_axis,right_leg_roll_joint,revolute,-0.055,-0.12,-0.19,1.5708,-1.5521,1.5708,base_link,0,0,1,100,3.14,-2.5,0.12,,,,,,,,
right_leg_yaw_link,1.0131E-15,-8.3267E-17,-1.6859E-14,0,0,0,0.7854,0.0011454,-3.8519E-34,-2.7234E-20,0.0011454,-5.0822E-20,0.00098175,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_leg_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_leg_yaw_link.STL,,leg_motor-7,right_leg_yaw_frame,right_leg_yaw_axis,right_leg_yaw_joint,revolute,0,0,0.05,3.1416,-1.5708,0,right_leg_roll_link,0,0,-1,100,3.14,-0.5,0.5,,,,,,,,
right_leg_pitch_link,0.194289718821747,-0.0397207882444419,-2.08166817117217E-16,0,0,0,3.19149662944362,0.00431629127665615,-0.000164904320015485,1.10179433081744E-18,0.0461748321659442,-1.42760814118946E-19,0.0451719623935276,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_leg_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_leg_pitch_link.STL,,leg1_new-2,right_leg_pitch_frame,right_leg_pitch_axis,right_leg_pitch_joint,revolute,0.02,0,0.05,-1.5708,-1.2741,0,right_leg_yaw_link,0,0,-1,250,2,-2,0.23,,,,,,,,
right_knee_link,0.129618,0.0443853015536158,0.00407623044892474,0,0,0,2.59980495743321,0.00474898223180461,0.00373925658439835,0.00034340358209023,0.0240094184207857,-3.78824608033861E-05,0.0244184343372066,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_knee_link.STL,,leg2_new-2,right_knee_pitch_frame,left_knee_pitch_axis,right_knee_joint,revolute,0.39649,-0.07893,0,-0.091581,0,-0.50221,right_leg_pitch_link,-0.036684,0.083773,-0.99581,250,1.8,0,1.8,,,,,,,,
right_ankle_pitch_link,1.3878E-17,0,0,0,0,0,0.031416,2.6965E-05,-1.8697E-24,1.0195E-21,2.6965E-05,-9.1966E-21,1.5708E-06,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_ankle_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_ankle_pitch_link.STL,,ankle_pitch_motor-2,right_ankle_pitch_frame,right_ankle_pitch_axis,right_ankle_pitch_joint,revolute,0.38885,0,0,3.1229,-0.089648,1.7772,right_knee_link,0,0,-1,75,1.57,-0.6,0.6,,,,,,,,
right_ankle_roll_link,0.13557,0.61207,0.022886,0,0,0,81.159,17.616,-0.0017348,-0.00011851,1.6144,0.54385,18.542,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_ankle_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_ankle_roll_link.STL,,left_ankle_roll_link2-1,right_ankle_roll_frame,right_ankle_roll_axis,right_ankle_roll_joint,revolute,0,0,0,-1.5708,-1.5521,-1.5708,right_ankle_pitch_link,0,0,-1,75,1.2,-0.1,0.1,,,,,,,,
waist_roll_link,-5.2175E-18,0.046236,0.05576,0,0,0,1.4509,0.003471,1.4689E-19,4.2492E-19,0.0024278,6.8785E-06,0.0035325,0,0,0,0,0,0,package://cowa_humanoid/meshes/waist_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/waist_roll_link.STL,,body_waist_part1-1,body_roll_frame,body_roll_axis,body_roll_joint,fixed,-0.055,0,-0.14,1.5708,0,1.5708,base_link,0,0,-1,0,0,0,0,,,,,,,,
body_link,0,6.2215E-18,0.14563,0,0,0,10.792,0.1223,-6.2755E-18,6.0127E-19,0.10516,5.8127E-18,0.06767,0,0,0,0,0,0,package://cowa_humanoid/meshes/body_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/body_link.STL,,body_main-1,body_yaw_frame,body_yaw_axis,body_yaw_joint,fixed,0,0.14,0.055,1.5708,-1.5708,0,waist_roll_link,0,0,1,0,0,0,0,,,,,,,,
left_shoulder_pitch_link,0,-1.11022302462516E-16,-0.05,0,0,0,0.785398163397448,0.00114537232162128,-3.5108097944559E-35,2.49518848914811E-20,0.00114537232162128,-5.19620206801091E-36,0.000981747704246811,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_shoulder_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_shoulder_pitch_link.STL,,arm_motor_100-4,left_shoulder_pitch_frame,left_shoulder_pitch_axis,left_shoulder_pitch_joint,fixed,0.010131,0.14,0.33,-1.5708,0,0,body_link,0,0,-1,0,0,0,0,,,,,,,,
left_shoulder_roll_link,-2.7756E-17,-0.05,0,0,0,0,1.5708,0.0022907,1.9155E-20,-3.9738E-20,0.0021271,8.6918E-20,0.0021271,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_shoulder_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_shoulder_roll_link.STL,,arm_motor_100-5;arm_motor_100-6,left_shoulder_roll_frame,left_shoulder_roll_axis,left_shoulder_roll_joint,fixed,0,0,0.05,0,-1.5708,0,left_shoulder_pitch_link,0,0,-1,0,0,0,0,,,,,,,,
left_arm_yaw_link,0,2.77555756156289E-17,0.1,0,0,0,1.5707963267949,0.0062177354602298,0,9.03501810404587E-20,0.0062177354602298,7.37993009018754E-19,0.00196349540849362,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_arm_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_arm_yaw_link.STL,,arm_motor_200-2,left_arm_yaw_frame,left_arm_yaw_axis,left_arm_yaw_joint,fixed,0,-0.15,0,1.5708,-1.5708,0,left_shoulder_roll_link,0,0,-1,0,0,0,0,,,,,,,,
left_arm_pitch_link,5.55111512312578E-17,-0.09,0,0,0,0,0.226194671058465,0.000633345078963702,5.0821976835258E-21,3.49401090742399E-21,4.5238934211693E-05,5.0821976835258E-21,0.000633345078963702,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_arm_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/left_arm_pitch_link.STL,,arm_raw-4,left_arm_pitch_frame,left_arm_pitch_axis,left_arm_pitch_joint,fixed,0,0,0.2,-1.5708,0,0,left_arm_yaw_link,0,0,1,0,0,0,0,,,,,,,,
right_shoulder_pitch_link,1.38777878078145E-17,1.11022302462516E-16,-0.05,0,0,0,0.785398163397449,0.00114537232162128,3.5108097944559E-35,2.49518848914811E-20,0.00114537232162128,5.19620206801091E-36,0.000981747704246811,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_shoulder_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_shoulder_pitch_link.STL,,arm_motor_100-1,right_shoulder_pitch_frame,right_shoulder_pitch_axis,right_shoulder_pitch_joint,fixed,0.010131,-0.14,0.33,1.5708,0,0,body_link,0,0,-1,0,0,0,0,,,,,,,,
right_shoulder_roll_link,-2.77555756156289E-17,-0.0499999999999998,0,0,0,0,1.5707963267949,0.00229074464324256,1.91550836508745E-20,3.97380851010098E-20,0.00212712002586809,-8.69177194312185E-20,0.00212712002586809,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_shoulder_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_shoulder_roll_link.STL,,arm_motor_100-2;arm_motor_100-3,right_shoulder_roll_frame,right_shoulder_roll_axis,right_shoulder_roll_link,fixed,0,0,0.05,3.1416,-1.5708,0,right_shoulder_pitch_link,0,0,1,0,0,0,0,,,,,,,,
right_arm_yaw_link,2.77555756156289E-17,0,-0.1,0,0,0,1.5707963267949,0.0062177354602298,-1.81809792927181E-34,-7.37993009018753E-19,0.0062177354602298,-1.80700362080918E-19,0.00196349540849362,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_arm_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_arm_yaw_link.STL,,arm_motor_200-1,right_arm_yaw_frame,right_arm_yaw_axis,right_arm_yaw_link,fixed,0,-0.15,0,1.5708,0,3.1416,right_shoulder_roll_link,0,0,1,0,0,0,0,,,,,,,,
right_arm_pitch_link,5.55111512312578E-17,-0.0899999999999999,-2.77555756156289E-17,0,0,0,0.226194671058465,0.000633345078963702,5.08219768352581E-21,-3.49401090742399E-21,4.5238934211693E-05,2.70364176257709E-36,0.000633345078963702,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_arm_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_humanoid/meshes/right_arm_pitch_link.STL,,arm_raw-3,right_arm_pitch_frame,right_arm_pitch_axis,right_arm_pitch_joint,fixed,0,0,-0.2,1.5708,0,-1.5708,right_arm_yaw_link,0,0,-1,0,0,0,0,,,,,,,,
