Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0961662823726544,-1.03511339119498E-09,-0.162578216580196,0,0,0,1.95101772172978,0.01135010914744,-2.37260397262345E-20,3.30872245021212E-21,0.00280342430526838,1.70152241780519E-10,0.0100305247149172,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/base_link.STL,,leg_motor-11;body_waist_part2-1,base_link_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_leg_roll_link,9.2374025095765E-17,2.77555756156289E-16,0.0800000000000984,0,0,0,0.785398163397448,0.00114537232162128,-3.38813178901722E-21,6.17699726082896E-20,0.00114537232162128,-5.67829495983702E-19,0.000981747704246811,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_leg_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_leg_roll_link.STL,,leg_motor-3,left_leg_roll_frame,left_leg_roll_axis,left_leg_roll_joint,revolute,-0.055000000000001,0.12,-0.190000000000201,-1.57079632679489,1.55205562358607,1.5707963267949,base_link,0,0,-1,0,0,0,0,,,,,,,,
left_leg_yaw_link,-8.12822031903693E-14,-7.75768338456828E-15,-6.7090430433403E-16,0,0,0,0.785398163397448,0.00114537232162128,-3.08148791101958E-33,-1.27753435684693E-19,0.00114537232162128,-1.86347248396235E-20,0.000981747704246811,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_leg_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_leg_yaw_link.STL,,leg_motor-2,left_leg_yaw_frame,left_leg_yaw_axis,left_leg_yaw_joint,revolute,0,0,-0.05,0,1.5707963267949,0,left_leg_roll_link,0,0,1,0,0,0,0,,,,,,,,
left_leg_pitch_link,0.201999999999999,8.13099587659849E-14,7.75768338456828E-15,0,0,0,7.272,0.0256944,-1.70706323390872E-18,1.57209315010415E-18,0.104968896,1.73669798238389E-18,0.118543296,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_leg_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_leg_pitch_link.STL,,leg1-1,left_leg_pitch_frame,left_leg_pitch_axis,left_leg_pitch_joint,revolute,0,0,0.05,1.57079632679486,-1.5707963267949,0,left_leg_yaw_link,0,0,1,0,0,0,0,,,,,,,,
left_knee_link,0.186499999999999,8.12960809781771E-14,7.68829444552921E-15,0,0,0,4.476,0.00910120000000002,9.31600991346202E-19,-2.30392961653079E-19,0.0572663170000001,-4.75746686743656E-20,0.0556251170000001,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_knee_link.STL,,leg2-1,left_leg_knee_frame,left_leg_knee_axis,left_knee_joint,revolute,0.404,0,0,0,0,0,left_leg_pitch_link,0,0,1,0,0,0,0,,,,,,,,
left_ankle_pitch_link,-8.12544476147536E-14,-4.44089209850063E-16,7.70217223333702E-15,0,0,0,0.785398163397448,0.00114537232162128,2.16667118743564E-34,1.27436410433356E-18,0.00114537232162128,-3.38813178901708E-20,0.000981747704246811,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_ankle_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_ankle_pitch_link.STL,,leg_motor-5,left_ankle_pitch_frame,left_ankle_pitch_axis,left_ankle_pitch_joint,revolute,0.373,0,0,0,0,-1.5707963267949,left_knee_link,0,0,1,0,0,0,0,,,,,,,,
left_ankle_roll_link,-0.135540236010903,0.624173029124125,-0.004086076793202,0,0,0,64.0232016921477,14.5578116556846,-0.00174074142632501,-0.00015111034130796,1.19279603802857,-0.00471611441455303,15.4021544305459,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_ankle_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_ankle_roll_link.STL,,left_ankle_roll_link2-2,left_ankle_roll_frame,left_ankle_roll_axis,left_ankle_roll_joint,revolute,0,0,0,1.5707963267947,-1.55205562358606,1.5707963267951,left_ankle_pitch_link,0,0,-1,0,0,0,0,,,,,,,,
right_leg_roll_link,-7.84095011141517E-15,5.5424415057459E-16,-0.0800000000000983,0,0,0,0.785398163397448,0.00114537232162128,1.29547256403004E-34,-1.19809241118529E-20,0.00114537232162128,7.31174174391707E-20,0.000981747704246811,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_leg_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_leg_roll_link.STL,,leg_motor-8,right_leg_roll_frame,right_leg_roll_axis,right_leg_roll_joint,revolute,-0.055000000000001,-0.12,-0.190000000000201,1.5707963267949,0.0187407032088365,1.57079632679489,base_link,0,0,1,0,0,0,0,,,,,,,,
right_leg_yaw_link,-8.27671264858054E-14,7.75768338456828E-15,1.55643727073329E-14,0,0,0,0.785398163397449,0.00114537232162128,-3.85185988877447E-34,-2.72338675958684E-20,0.00114537232162128,-5.08219768352577E-20,0.000981747704246812,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_leg_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_leg_yaw_link.STL,,leg_motor-7,right_leg_yaw_frame,right_leg_yaw_axis,right_leg_yaw_joint,revolute,0,0,0.05,1.5707963267949,-1.5707963267949,0,right_leg_roll_link,0,0,-1,0,0,0,0,,,,,,,,
right_leg_pitch_link,0.201999999999999,8.13099587659849E-14,-7.74380559676047E-15,0,0,0,7.272,0.0256944,6.90486865989933E-19,-2.00577401909836E-18,0.104968896,-2.28611535501459E-18,0.118543296,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_leg_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_leg_pitch_link.STL,,leg1-2,right_leg_pitch_frame,right_leg_pitch_axis,right_leg_pitch_joint,revolute,0,0,0.05,1.5707963267949,-1.5707963267949,0,right_leg_yaw_link,0,0,1,0,0,0,0,,,,,,,,
